#
# Aggregated Blocklist for AbuseIPDB: Indonesia most reported IP addresses.
#
# Number of ips:          521
# Last updated:           2026-09-01 04:18:16
#
# Source:                 https://github.com/borestad/blocklist-abuseipdb
# Stats:                  https://github.com/borestad/blocklist-abuseipdb/tree/main/stats
# Credits 1:              https://www.abuseipdb.com - please support them!
# Credits 2:              https://ipinfo.io - The Trusted Source For IP Address Data
#
103.190.47.34    # ID  AS9341    PT INDONESIA COMNETS PLUS
103.190.47.42    # ID  AS9341    PT INDONESIA COMNETS PLUS
103.190.47.8     # ID  AS9341    PT INDONESIA COMNETS PLUS
103.191.14.210   # ID  AS38513   PT Aplikanusa Lintasarta
103.191.14.243   # ID  AS38513   PT Aplikanusa Lintasarta
103.193.179.139  # ID  AS136052  PT Cloud Hosting Indonesia
103.205.82.16    # ID  AS134641  PEMERINTAH KABUPATEN MAGETAN
103.205.82.50    # ID  AS134641  PEMERINTAH KABUPATEN MAGETAN
103.21.205.202   # ID  AS131746  PT. Medianusa Permana
103.210.35.122   # ID  AS59151   Diskominfo DIY
103.217.144.35   # ID  AS136052  PT Cloud Hosting Indonesia
103.217.145.41   # ID  AS136052  PT Cloud Hosting Indonesia
103.217.219.118  # ID  AS24529   PT. Infotama Lintas Global
103.22.216.2     # ID  AS150261  PT Cybermedia Network Nusantara
103.227.243.217  # ID  AS59278   PT Jaringan VNT Indonesia
103.232.20.85    # ID  AS151508  PT Terabyte Network Indonesia
103.242.104.141  # ID  AS58821   PT Lintas Jaringan Nusantara
103.242.104.205  # ID  AS58821   PT Lintas Jaringan Nusantara
103.247.21.204   # ID  AS58485   WIFIAN ID
103.247.23.133   # ID  AS58485   WIFIAN ID
103.252.12.242   # ID  AS133838  PT Infotek Global Network
103.253.213.166  # ID  AS58487   CV. Rumahweb Indonesia
103.26.188.11    # ID  AS142319  PT Telemedia Komunikasi Pratama
103.26.188.24    # ID  AS142319  PT Telemedia Komunikasi Pratama
103.26.209.178   # ID  AS18103   Neuviz Net
103.29.185.162   # ID  AS56260   PT Pascal Indonesia
103.31.158.18    # ID  AS38496   PT Cyber Network Indonesia
103.31.233.30    # ID  AS55701   PT. Usaha Adisanggoro
103.40.120.158   # ID  AS63508   PT DINAMIKA MEDIAKOM
103.42.243.35    # ID  AS151595  PT Merdeka Media Teknologi
103.46.186.105   # ID  AS150462  PT Air Lintas Komunikasi
103.46.186.148   # ID  AS150462  PT Air Lintas Komunikasi
103.46.186.85    # ID  AS150462  PT Air Lintas Komunikasi
103.49.188.186   # ID  -         -
103.52.115.189   # ID  AS136052  PT Cloud Hosting Indonesia
103.54.1.5       # ID  AS140411  UNIVERSITAS PARAMADINA
103.58.161.133   # ID  AS59278   PT Jaringan VNT Indonesia
103.59.160.121   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.164   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.179   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.186   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.220   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.248   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.54    # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.82    # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.160.95    # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.129   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.131   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.151   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.168   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.199   # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.64    # ID  AS150493  PT Gunung Sedayu Sentosa
103.59.161.72    # ID  AS150493  PT Gunung Sedayu Sentosa
103.63.101.24    # ID  AS150273  PT Berkah Maju Interasional
103.63.24.43     # ID  AS136052  PT Cloud Hosting Indonesia
103.65.236.212   # ID  AS135450  PT Berkah Solusi Teknologi Informasi
103.65.237.55    # ID  AS135450  PT Berkah Solusi Teknologi Informasi
103.67.78.56     # ID  AS136052  PT Cloud Hosting Indonesia
103.68.213.26    # ID  AS150530  PT Mars Data Telekomunikasi
103.70.123.254   # ID  AS150980  PT Menara Digital Salama
103.71.161.54    # ID  AS139981  PT. Menaksopal Link Nusantara
103.73.75.164    # ID  AS135468  BNET
103.76.109.118   # ID  AS151576  PT Mahawira Nusantara Grup
103.76.120.90    # ID  AS136052  PT Cloud Hosting Indonesia
103.77.106.45    # ID  AS135450  PT Berkah Solusi Teknologi Informasi
103.77.107.178   # ID  AS135450  PT Berkah Solusi Teknologi Informasi
103.77.107.182   # ID  AS135450  PT Berkah Solusi Teknologi Informasi
103.79.96.91     # ID  AS64308   PT IndoDev Niaga Internet
103.8.59.250     # ID  AS45707   Prime Link Communication, PT
103.81.64.153    # ID  AS136055  PT Queen Network Nusantara
103.82.92.171    # ID  AS136052  PT Cloud Hosting Indonesia
103.82.93.80     # ID  AS136052  PT Cloud Hosting Indonesia
